id	class	disposition	component	b2	test	note	text
0,00	C5	reserved	diagnostics table	B.2 self-diagnostics		message-table fallback for a missing text row (D9.15); wire with the table-completeness check	ERROR MESSAGE NOT YET IN FILE.
1,00	C3	enforced	card reader and lexer	B.2 environment description	test/environment_lexer_test.dart: FILE and COND cards without names draw 1,00 and 88,00		-FILE- CARD LACKS NAME IN COLUMNS 7 THROUGH 22.
2,00	C2	enforced	procedure parser	B.2 names	test/procedure_parser_test.dart: RUN outside STOP RUN is deleted with msg 2 (D2.7)		-RUN- DELETED. ITS USE IS RESTRICTED TO PROCESSOR.
3,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: OPTION with unrecognized content draws 3,00		-OPTION- CARD FORMAT ERROR.
4,00	C3	enforced	environment description	B.2 environment description	test/environment_parser_test.dart: every issued message id has a severity row (Diagnostic.severity)		-COND- CARD FORMAT ERROR.
5,00	C4	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a record longer than its BLOCKSIZE without SPANS draws	M3 (record length vs BLOCKSIZE; cross-card, M2-3)	RECORD LENGTH 24 OF 'NAME.2' EXCEEDS 'NAME.1' -BLOCKSIZE- 12.\n                    -FILE- CARD MUST HAVE -SPANS-.
6,00	C1	enforced	environment description	B.2 numeric limits	test/environment_parser_test.dart: a 13-digit KEYS setting draws 6,00 and keeps the rightmost 12		-COND- CARD KEY SETTING EXCEEDS 12 DIGITS. RIGHTMOST 12 DIGITS USED.
7,00	C1	enforced	environment description	B.2 numeric limits	test/environment_parser_test.dart: a KEYS setting with an 8 draws 7,00 and becomes key setting 1		-COND- CARD KEY SETTING MUST BE OCTAL. KEY SETTING '1' USED.
8,00	C3	reserved	input/output binder	B.2 environment description		M3 (record/file consistency; cross-card, M2-3)	'NAME.1' IS NEITHER A RECORD NOR A FILE. CHECK DATA DESCRIPTION OR NAME.
9,00	C4	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	RECORD 'NAME.2' MUST BE ON A -FILE- CARD.\n                    CHECK ENVIRONMENT DESCRIPTION.
10,00	C4	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	RECORD 'NAME.2' MUST BE ON AN INPUT -FILE- CARD.\n                    CHECK ENVIRONMENT DESCRIPTION.
11,00	C4	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a record on two input FILE cards draws 11,00	M3 (record/file consistency)	RECORD 'NAME.2' CANNOT BE ON MORE THAN ONE INPUT -FILE- CARD.\n                    CHECK ENVIRONMENT DESCRIPTION.
12,00	C3	reserved	input/output binder	B.2 environment description		M3 (GET RECORD FROM binding)	INCORRECT USE OF -GET RECORD FROM-. CANNOT DETERMINE RECORD LENGTH.\n                    CHECK ENVIRONMENT DESCRIPTION.
13,00	C4	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a FILE card naming no record draws 13,00	M3 (record/file consistency)	'NAME.1' FILE LACKS RECORD NAME IN -FILE- CARD\n                    OR NO CORRESPONDING RECORD NAME IS IN DATA DESCRIPTION.
14,00	C3	reserved	input/output binder	B.2 environment description		M3 (GET RECORD FROM binding)	INCORRECT USE OF -GET RECORD FROM-. 'NAME.1' IS NOT AN INPUT FILE.\n                    CHECK ENVIRONMENT DESCRIPTION.
15,00	C4	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a FILE-card record name with no data entry draws 15,00	M3 (record/file consistency)	'NAME.1' FILE LACKS RECORD NAME IN -FILE- CARD\n                    OR NO CORRESPONDING RECORD NAME IS IN DATA DESCRIPTION.
16,00	C3	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a FILE-card record name that is not a RECORD draws 16,00	M3 (record/file consistency)	'NAME.2' IS NOT A RECORD. CHECK DATA DESCRIPTION.
17,00	C4	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	'NAME.2' MUST BE RECORD NAME IN -FILE- CARD.
18,00	C5	reserved	internal-error reporting	B.2 self-diagnostics		internal-consistency assertion (D9.15 group a)	ILLEGAL INTERNAL CONDITION. NOTHING DONE. POSSIBLE COMPILER ERROR.
19,00	C4	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	RECORD 'NAME.2' MUST BE ON AN OUTPUT -FILE- CARD.\n                    CHECK ENVIRONMENT DESCRIPTION OR NAME.
20,00	C4	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: an internal-mode record on a BCD output file draws 20,00	M3 (mode consistency)	BINARY DATA CANNOT BE OUTPUT ON BCD TAPE.
21,00	C3	enforced	input/output binder	B.2 environment description	test/data_mapper_test.dart: a SPECIF naming no FILE card draws 21,00	M3 (record/file consistency)	'NAME.1' IS NOT A FILE. CHECK ENVIRONMENT DESCRIPTION.
22,00	C3	reserved	input/output binder	B.2 environment description		M3 (record/file consistency)	'NAME.1' IS NOT AN OUTPUT FILE. CHECK ENVIRONMENT DESCRIPTION.
